filename,province_std,location_std,hdd,houseType,houseSubType,planShape,storeys,decade,vintageExact,murbStoreysInBuilding,murbDwellingCount,murbNonResUnitCount,murbUnitsVisitedCount,agFloorArea,bgFloorArea,nonResUnitFloorArea,commonSpacesFloorArea,totFloorArea,totVolume,highestCeiling,ach,ela,numAdults,numChildren,numInfants,commonSpaceElectricalConsumption,dailyElectricApplianceConsumption,dailyLightingConsumption,dailyOtherElectricityConsumption,dailyExteriorElectricityConsumption,dailyHotWaterLoad,hotWaterSetPoint,dayHeatingSetPoint,nightHeatingSetPoint,coolingSetPoint,setbackDuration,spaceHeatingType,spaceHeatingFuel,spaceHeatingEquipType,spaceHeatingEff,spaceHeatingEffType,spaceHeatingCapacity,spaceHeatingPilotLight,spaceHeatingFlueDiameter,spaceHeatingDualFuel,spaceHeatingDualFuelSwitchTemp,supplHeatingFuel,supplHeatingEquipType,supplHeatingEff,supplHeatingCapacity,supplHeatingPilotLight,supplHeatingFlueDiameter,supplHeatingLocationHeated,supplHeatingAreaHeated,supplHeatingDamperClosed,supplHeatingUsed,coolingEquipType,coolingEff,coolingEffType,coolingCapacity,heatPumpType,heatPumpEquipType,heatPumpMode,heatPumpHeatingEff,heatPumpHeatingEffType,heatPumpCoolingEff,heatPumpCoolingEffType,heatPumpCapacity,coldClimateHeatPump,heatPumpRestrictedTemp,primaryDhwFuel,primaryDhwTankType,primaryDhwTankVolume,primaryDhwEF,primaryDhwIsUEF,primaryDhwPilotLight,primaryDhwFlueDiameter,primaryHasDwhr,secondaryDhwFuel,secondaryDhwTankType,secondaryDhwTankVolume,secondaryDhwEF,secondaryDhwIsUEF,secondaryDhwPilotLight,secondaryDhwFlueDiameter,secondaryHasDwhr,generationPresent,solarPvArraySize,solarPvArrayAngle,solarPvArrayAzimuth,solarPvEff,solarPvNOCT,solarPvTempCoeff,solarPvMiscLosses,solarPvInverterEff,solarPvOtherLosses,solarPvGridAbsorpitionRate,hrvPresent,hrvTotalSupply,hrvTotalReturn,hrvEff1,hrvTemp1,hrvEff2,hrvTemp2,wholeBathroomVentCount,wholeBathroomVentTotalExhaust,wholeRangeVentCount,wholeRangeVentTotalExhaust,wholeUtilityVentCount,wholeUtilityVentTotalSupply,wholeUtilityVentTotalExhaust,supplBathroomVentCount,supplBathroomVentTotalExhaust,supplRangeVentCount,supplRangeVentTotalExhaust,supplUtilityVentCount,supplUtilityVentTotalSupply,supplUtilityVentTotalExhaust,dryerVentCount,dryerVentTotalExhaust,basementConfig,basementPerimeter,basementExpPerimeter,basementFloorArea,basementWallHeight,basementWallDepth,basementIntWallInsAreaFrac,basementExtWallInsAreaFrac,basementPonyWallHeight,basementPonyWallInsAreaFrac,isBasementHeated,basementSeparateThermostat,crawlspaceConfig,crawlspaceVentType,crawlspacePerimeter,crawlspaceExpPerimeter,crawlspaceFloorArea,crawlspaceWallHeight,crawlspaceWallDepth,crawlspaceWallInsAreaFrac,isCrawlspaceHeated,slabConfig,slabPerimeter,slabExpPerimeter,slabArea,ceilingConstType,ceilingLength,ceilingArea,ceilingRoofSlope,ceilingHeelHeight,ceilingFlatLength,ceilingFlatArea,ceilingFlatRoofSlope,ceilingFlatHeelHeight,expFloorArea,expFloorLength,bufferedExpFloorArea,bufferedExpFloorLength,wallArea,wallPerimeter,wallEqHeight,wallCornersTot,wallIntersectionsTot,bufferedWallArea,bufferedWallPerimeter,bufferedWallEqHeight,bufferedWallCornersTot,bufferedWallIntersectionsTot,floorHeaderArea,floorHeaderPerimeter,floorHeaderEqHeight,floorHeaderFoundationArea,floorHeaderFoundationPerimeter,floorHeaderFoundationEqHeight,doorCount,avgDoorWidth,avgDoorHeight,windowCountS,windowAreaS,windowCountSW,windowAreaSW,windowCountW,windowAreaW,windowCountNW,windowAreaNW,windowCountN,windowAreaN,windowCountNE,windowAreaNE,windowCountE,windowAreaE,windowCountSE,windowAreaSE,skylightCount,skylightArea,totWindowArea,glazingRatio,dominantBasementWallType,dominantBasementWallRVal,dominantBasementWallAreaFrac,dominantBasementExtWallType,dominantBasementExtWallRVal,dominantBasementExtWallAreaFrac,dominantFloorsAboveType,dominantFloorsAboveRVal,dominantFloorsAboveAreaFrac,dominantPonyWallType,dominantPonyWallRVal,dominantPonyWallAreaFrac,dominantCrawlspaceWallType,dominantCrawlspaceWallRVal,dominantCrawlspaceWallAreaFrac,dominantSlabType,dominantSlabRVal,dominantSlabAreaFrac,dominantCeilingType,dominantCeilingRVal,dominantCeilingAreaFrac,dominantCeilingFlatType,dominantCeilingFlatRVal,dominantCeilingFlatAreaFrac,dominantExpFloorType,dominantExpFloorRVal,dominantExpFloorAreaFrac,dominantExpFloorBuffType,dominantExpFloorBuffRVal,dominantExpFloorBuffAreaFrac,dominantWallType,dominantWallRVal,dominantWallLintelType,dominantWallAreaFrac,dominantFloorHeaderType,dominantFloorHeaderRVal,dominantFloorHeaderAreaFrac,dominantWindowType,dominantWindowRVal,dominantWindowShgc,dominantWindowAreaFrac,dominantDoorType,dominantDoorRVal,dominantDoorAreaFrac,equivBasementWallRVal,equivExtBasementWallRVal,equivBasementFloorsAboveRVal,equivPonyWallRVal,equivCrawlspaceWallRVal,equivSlabRVal,equivCeilingRVal,equivCeilingFlatRVal,equivExpFloorRVal,equivExpFloorBuffRVal,equivWallRVal,equivFloorHeaderRVal,equivDoorRVal,weather_zone,physical_link_category
ERS-EX-21313.H2K,QUEBEC,HAVRE ST-PIERRE,5860,House,Single Detached,Rectangular,Two storeys,1980,1985,0,0,0,0,243.5,157.5,0,0,401,1002.4554,5.3645,3.9871,1534.3982,2,2,0,0,9,3.4,7.6,4,224.9857,55,21,21,25,8,Baseboards,Electric,Baseboards,100,Steady State,24.5,0,0,FALSE,0,Hardwood,Advanced airtight wood stove,30,2,0,127,Main Floors,12,FALSE,Never,Central split system,3,COP,5.8984,,,,,COP,,,,,,Electricity,Conventional tank,189.3,0.82,FALSE,0,0,FALSE,,,0,0,,0,0,FALSE,FALSE,,,,,,,,,,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.2276,1,1.2,BCCB_4,53.28,53.2799,157.4892,2.3165,2.0117,1,0,0,0,TRUE,FALSE,,3,0,0,0,0,0,0,FALSE,,0,0,0,"Attic/gable,Cathedral",36.3504,48.4211,0.3333,0.1311,10.9118,119.0831,0.3333,0,0,0,0,0,213.3036158,92.6378,2.302554852,10,8,0,0,0,0,0,12.1795794,53.279,0.2286,12.1795794,53.279,0.2286,3,0.849,2.023,0,0,5,11.65045463,0,0,2,2.777190288,0,0,7,9.362057663,0,0,3,3.536893755,0,0,27.32659634,10.76263432,UserSpecified_0.51,0.5138,1,,0,0,4231000660,0.7215,1,,0,0,,0,0,User specified,0,1,2201301000,3.5119,1,2231301000,3.2242,1,,0,0,,0,0,1201221111,3.187,100,1,1800300220,3.867,0.5,200000,0.28298,0.70598,0.426341228,5,1.14,0.674814371,0.5138,0,0.7215,0,0,0,3.5119,3.2242,0,0,3.205713889,2.607870387,1.082526985,462,detached
ERS-EX-21830.H2K,QUEBEC,BAGOTVILLE,5420,House,Single Detached,Rectangular,One storey,1950,1952,0,0,0,0,93.4,90.5,0,0,183.9,457.1613,2.987,4.9188,877.0972,2,1,0,0,6.2997,2.6,9.7,0.9,192.2663,55,21,18,25,8,Boiler,Electric,Electric boiler,100,Steady State,25.5,0,0,FALSE,0,,,0,0,0,0,,0,FALSE,Never,,,COP,,,,,,COP,,,,,,Electricity,Conventional tank,246.1,0.8045,FALSE,0,0,FALSE,,,0,0,,0,0,FALSE,FALSE,,,,,,,,,,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,2,66,1,75,0,0,0,1,38,BCCB_4,38.56,38.5572,90.4764,2.347,1.1278,0.87,0,0,0,TRUE,TRUE,,3,0,0,0,0,0,0,FALSE,,0,0,0,Attic/gable,22.7076,93.4372,0.417,0.1006,0,0,0,0,0,0,0,0,93.95331984,39.1668,2.3988,4,1,0,0,0,0,0,0,0,0,8.81417592,38.5572,0.2286,2,0.914,2.032,2,4.343217402,0,0,2,2.45031768,0,0,4,3.615476919,0,0,3,2.252898977,0,0,0,0,13.59094126,9.074151983,UserSpecified_0.39,0.3921,1,,0,0,4200000000,0.4684,1,,0,0,,0,0,Sp??????cifi?????? par l'utilisateur,0,1,Sp??????cifi?????? par l'utilisateur,7.4741,1,,0,0,,0,0,,0,0,1201O01710,1.3138,100,1,18002M0710,3.3475,1,200002,0.3464,0.6967,0.269642306,5,1.14,1,0.3921,0,0.4684,0,0,0,7.4741,0,0,0,1.3138,3.3475,1.14,462,detached
ERS-EX-21887.H2K,QUEBEC,VAL-D'OR,5782,House,Single Detached,"Other, 5-6 corners",One storey,1940,1943,0,0,0,0,147.7,74.9,0,0,222.6,643.8912,5.6388,4.9066,1237.4275,2,1,0,0,6.2997,2.6,9.7,0.9,192.949,55,21,18,25,8,Furnace,Electric,Electric furnace,100,Steady State,31.5,0,0,FALSE,0,Mixed Wood,Advanced airtight wood stove,30,2,0,127,Main Floors,12,FALSE,Never,,,COP,,,,,,COP,,,,,,Electricity,Conventional tank,246.0999,0.82,FALSE,0,0,FALSE,,,0,0,,0,0,FALSE,FALSE,,,,,,,,,,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74.9924,0,0,0,1,38,BCCB_4,35.42,29.3827,74.8799,2.4079,1.7983,0,0,0,0,TRUE,FALSE,,3,0,0,0,0,0,0,FALSE,SCN_1,24.03,17.9832,36.0536935,"Attic/gable,Cathedral",15.301,41.2675,0.333,0.1006,21.2751,83.1389,0.333,0.1006,0,0,0,0,177.3268488,73.152,2.4240875,5,5,0,0,0,0,0,7.62268986,33.3451,0.2286,6.71688522,29.3827,0.2286,2,0.914,2.032,8,6.398852135,0,0,3,6.811651844,0,0,7,7.074566789,0,0,3,2.744872105,0,0,0,0,23.02994287,10.98871538,,0,0,,0,0,4221000760,0.7284,1,,0,0,,0,0,Sp??????cifi?????? par l'utilisateur,0,1,2V55D00002-GREN,2.062,1,2V55D00002-CATHRDC,1.9732,0.538048976,,0,0,,0,0,1201O01760,1.1447,100,0.682909033,1800000710,0.8024,1,200024,0.332990909,0.525727273,0.513892667,5,1.14,0.5,0,0,0.7284,0,0,0,2.062,2.372058518,0,0,1.193406465,0.8024,0.558675497,448,detached
ERS-EX-21856.h2k,QUEBEC,VAL-D'OR,6180,House,Mobile Home,Rectangular,One storey,1990,1996,0,0,0,0,74.7,0,0,0,74.7,231.8329,2.5603,17.0214,1583.5979,2,1,0,0,6.2997,2.6,9.7,0.9,192.7358,55,21,18,25,8,Baseboards,Electric,Baseboards,100,Steady State,14,0,0,FALSE,0,Mixed Wood,Advanced airtight wood stove,30,2,0,127,Main Floors,12,FALSE,Never,,,COP,,,,,,COP,,,,,,Electricity,Conventional tank,189.3,0.8217,FALSE,0,0,FALSE,,,0,0,,0,0,FALSE,FALSE,,,,,,,,,,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,,0,0,0,0,0,0,0,0,0,FALSE,TRUE,SCN_1,Closed,37.8,34.1376,61.316,0.8534,0,0,FALSE,SCN_1,14.65,10.9728,13.37803776,"Attic/gable,Cathedral",24.384,58.4732,0.25,0.1006,3.6576,8.8072,0.333,0.1006,0,0,0,0,90.0725821,47.5427,1.894561775,2,2,0,0,0,0,0,0,0,0,8.53098624,34.1376,0.2499,2,0.914,1.956,2,4.350960005,0,0,1,0.78451456,0,0,4,2.799994557,0,0,4,2.8258008,0,0,0,0,10.76126992,8.424578582,,0,0,,0,0,4221306600,3.8899,1,,0,0,12012M0920,2.6148,1,,0,0,24032M1000,2.8394,0.762631428,2201051000,1.5466,1,,0,0,,0,0,1201201920,2.189,100,0.976954976,18002M0920,3.3178,1,200045,0.3362,0.5957,0.353956887,5,1.14,0.532467532,0,0,3.8899,0,2.6148,0,2.900926896,1.5466,0,0,2.18406679,3.3178,0.577808219,448,detached
ERS-EX-25262.H2K,QUEBEC,MONTREAL-ST-HUBERT,4275,House,Single Detached,"Other, 11 or more corners",Two storeys,1980,1987,0,0,0,0,191.2,93.9,0,0,285.1,712.8203,5.334,3.6979,934.078,2,2,0,0,14,3,3,4,224.9857,55,21,21,25,8,Furnace,Electric,Electric furnace,100,Steady State,14,0,0,FALSE,0,Hardwood,Advanced airtight wood stove,30,2,0,76.2,Main Floors,12,FALSE,Never,,,COP,,AirHeatPump,Central split system,Heating/Cooling,2,COP,3,TRUE,8.7921,FALSE,-12,Electricity,Conserver tank,246.1,0.884,FALSE,0,0,FALSE,,,0,0,,0,0,FALSE,FALSE,,,,,,,,,,,TRUE,23.5974,23.5974,55,0,45,-25,0,0,0,0,0,0,0,0,0,0,0,1,0,6.3713,1,38,BCCB_4,48.16,48.1584,93.925,2.0909,1.2192,1,0,0,0,TRUE,TRUE,,3,0,0,0,0,0,0,FALSE,,0,0,0,"Attic/gable,Cathedral",23.1648,65.4966,0.417,0.3048,11.5824,45.7083,0.417,0,14.1213,4.8768,0,0,177.8753059,78.6384,2.261939535,24,2,0,0,0,0,0,9.5621856,37.7952,0.253,12.1840752,48.1584,0.253,2,1.041,2.032,0,0,2,5.130312493,0,0,1,4.562571693,0,0,2,1.8451576,0,0,10,22.84382784,2,1.032256,34.38186963,14.23083303,1110K1,3.3786,1,,0,0,4231006660,0.8414,1,,0,0,,0,0,User specified,0,1,2403LK1000,5.8871,1,2423LK1000,5.5514,1,3221501610,4.2266,1,,0,0,1211301541,3.17435,mur 2x6 + 1.5'' pe (PC),1,18000F0540,3.6444,0.560283688,200002,0.3447,0.6839,0.966148768,5,1.14,1,3.3786,0,0.8414,0,0,0,5.8871,5.5514,4.2266,0,3.175020492,3.819934073,1.14,479,detached
ERS-EX-21510.H2K,QUEBEC,MONTREAL-ST-HUBERT,4275,House,Single Detached,"Other, 9-10 corners",Two storeys,1980,1987,0,0,0,0,199.6,78.2,0,0,277.8,694.584,6.096,6.9892,1802.6497,2,2,0,0,14,3,3,4,224.9857,55,21,21,25,8,Baseboards,Electric,Baseboards,100,Steady State,27,0,0,FALSE,0,Electric,Forced air furnace,30,20.515,0,0,Main Floors,12,FALSE,Never,,,COP,,AirHeatPump,Central split system,Heating/Cooling,6.5,COP,12.5,FALSE,12.36,FALSE,,Electricity,Conventional tank,246.1,0.8045,FALSE,0,0,FALSE,,,0,0,,0,0,FALSE,FALSE,,,,,,,,,,,TRUE,23.5974,23.5974,55,0,45,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2,BCCB_4,43.29,43.2816,78.2244,2.4384,1.8288,0,0,0,0,TRUE,TRUE,,3,0,0,0,0,0,0,FALSE,SCN_1,23.78,14.0208,34.18831872,"Attic/gable,Cathedral",28.0416,98.8488,0.5,0.1311,8.8392,22.8541,0.5,0,0,0,0,0,203.6434637,83.5152,2.4384,14,13,0,0,0,0,0,10.77675264,35.3568,0.3048,13.19223168,43.2816,0.3048,2,0.864,2.032,10,12.56080242,0,0,4,3.578307479,0,0,5,12.13099464,0,0,3,2.996756186,0,0,0,0,32.0926654,12.63506128,,0,0,,0,0,4231006600,0.7213,1,,0,0,,0,0,User specified,0,1,2403J01000,6.8566,1,2233301000,3.3329,1,,0,0,,0,0,1201201220,2.10805,100,0.802919708,1800000220,0.6971,0.550387597,200004,0.339813636,0.631331818,1,5,1.14,1,0,0,0.7213,0,0,0,6.8566,3.3329,0,0,2.141414396,0.982172061,1.14,479,detached
ERS-EX-26476.H2K,QUEBEC,MONTREAL MIRABEL  INTL,4569,House,Single Detached,Rectangular,Two storeys,1970,1974,0,0,0,0,219.6,0.2,0,0,219.8,563.4656,5.6998,4.6392,1017.3168,2,1,0,0,6.2997,2.6,9.7,0.9,190.5617,55,21,18,25,8,Furnace,Electric,Electric furnace,100,Steady State,19,0,0,FALSE,0,Electric,Other (describe),30,2,0,0,Main Floors,12,FALSE,Never,,,COP,,AirHeatPump,Central split system,Heating/Cooling,2,COP,2,TRUE,7.0337,FALSE,,Electricity,Conventional tank,246.0999,0.82,FALSE,0,0,FALSE,,,0,0,,0,0,FALSE,FALSE,,,,,,,,,,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,1,38,,0,0,0,0,0,0,0,0,0,FALSE,TRUE,,3,0,0,0,0,0,0,FALSE,SCN_1,43.04,43.0387,109.8207,Attic/gable,13.1978,109.8207,0.66,0.253,0,0,0,0,0,0,0,0,188.3332378,77.2364,2.4384,7,0,68.37663744,28.0416,2.4384,1,0,10.8885634,43.0378,0.253,0,0,0,2,1.206,2.056,1,0.249872016,4,8.258048533,0,0,3,9.086434301,0,0,8,12.85158765,0,0,1,1.156126801,0,0,31.6020693,15.86275654,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,2403701000,4.9801,1,,0,0,,0,0,,0,0,1201K01241,2.208433333,101,1,1800K00240,2.4904,1,200213,0.343375,0.609875,0.867969253,5,1.14,0.639855159,0,0,0,0,0,0,4.9801,0,0,0,2.208082669,2.4904,0.673525506,477,detached
ERS-EX-26258.H2K,QUEBEC,MCTAVISH,4028,House,Single Detached,T-shape,Two storeys,1940,1945,0,0,0,0,115,53.4,0,0,168.4,418.8628,6.6751,15.8216,3023.0366,2,1,0,0,6.2997,2.6,9.7,0.9,189.4143,55,21,18,25,8,Baseboards,Electric,Baseboards,100,Steady State,26.5,0,0,FALSE,0,,,0,0,0,0,,0,FALSE,Never,,,COP,,,,,,COP,,,,,,Electricity,Conventional tank,151.3998,0.82,FALSE,0,0,FALSE,,,0,0,,0,0,FALSE,FALSE,,,,,,,,,,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.3597,1,75,0,0,0,1,38,BCCB_4,29.24,29.2312,53.2892,2.1793,1.5149,0,0,0,0,TRUE,FALSE,,3,0,0,0,0,0,0,FALSE,,0,0,0,Attic/gable,14.1092,61.6783,0.3333,0.1006,0,0,0,0,8.3891,8.2235,0,0,150.8538465,62.9047,2.398133152,10,0,0,0,0,0,0,7.69933944,33.6804,0.2286,7.3952659,29.2303,0.253,2,0.829,1.715,5,4.659345606,0,0,4,4.785797058,0,0,4,5.66708547,0,0,4,4.186443314,0,0,0,0,19.29867145,10.41091154,,0,0,,0,0,4231000660,0.7057,1,,0,0,,0,0,Sp??????cifi?????? par l'utilisateur,0,1,2401801000,7.7885,1,,0,0,3231204710,2.7878,1,,0,0,1201K01141,2.179375,100,1,1800200540,2.7931,0.510072259,200020,0.21335,0.6523,0.360913321,5,1.14,0.651236669,0,0,0.7057,0,0,0,7.7885,0,2.7878,0,2.177408345,1.369932767,0.682349242,477,detached
ERS-EX-26909.H2K,QUEBEC,QUEBEC INTL,4838,House,Single Detached,Rectangular,One storey,1960,1963,0,0,0,0,106,106,0,0,212,498.5805,3.2004,3.657,807.7614,2,1,0,0,6.2997,2.6,9.7,0.9,191.1188,55,21,18,25,8,Furnace,Electric,Electric furnace,100,Steady State,18,0,0,FALSE,0,,,0,0,0,0,,0,FALSE,Never,,,COP,,,,,,COP,,,,,,Electricity,Conventional tank,189.3,0.82,FALSE,0,0,FALSE,,,0,0,,0,0,FALSE,FALSE,,,,,,,,,,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,0,0,0,1,38,BCCB_4,42.13,42.1243,106.0117,2.1214,1.5118,0,0,0,0,TRUE,FALSE,,3,0,0,0,0,0,0,FALSE,,0,0,0,Attic/gable,16.1331,106.0117,0.3333,0.1006,0,0,0,0,0,0,0,0,100.1441712,42.1234,2.3774,4,4,0,0,0,0,0,0,0,0,8.60159828,42.1234,0.2042,3,0.943,1.939,5,8.581273538,0,0,0,0,0,0,7,8.516112716,0,0,0,0,0,0,0,0,17.09738625,12.71892801,,0,0,,0,0,4231000660,0.7059,1,,0,0,,0,0,Sp??????cifi?????? par l'utilisateur,0,1,2403201000,2.1856,1,,0,0,,0,0,,0,0,1201201141,2.2982,101,1,1800000140,0.8951,1,200222,0.360490909,0.514963636,0.783404383,4,0.98,0.655922833,0,0,0.7059,0,0,0,2.1856,0,0,0,2.2982,0.8951,0.625294161,491,detached
ERS-EX-5162.H2K,QUEBEC,QUEBEC INTL,4838,House,Single Detached,L-shape,One storey,2000,2002,0,0,0,0,94.9,85.8,0,0,180.7,479.6309,5.0902,3.0549,607.9835,2,1,0,0,6.2997,2.6,9.7,0.9,191.1188,55,21,18,25,8,Baseboards,Electric,Baseboards,100,Steady State,12.5,0,0,FALSE,0,Mixed Wood,Wood fireplace insert,30,2,0,127,Main Floors,12,FALSE,Never,,,COP,,,,,,COP,,,,,,Electricity,Conventional tank,246.0999,0.82,FALSE,0,0,FALSE,,,0,0,,0,0,FALSE,FALSE,,,,,,,,,,,TRUE,27.9865,27.9865,55,0,45,-25,0,0,0,0,0,0,0,0,0,1,75,0,0,0,1,38,BCCB_4,39.33,39.3201,85.8424,2.4628,1.6977,1,0,0.762,0,TRUE,FALSE,,3,0,0,0,0,0,0,FALSE,,0,0,0,Attic/gable,17.9832,94.854,0.33,0.3048,0,0,0,0,2.9729,4.8768,0,0,100.0670592,41.4528,2.414,4,4,0,0,0,0,0,0,0,0,17.97673824,39.3192,0.4572,1,1.245,2.032,0,0,4,7.578882447,0,0,3,3.899347355,0,0,5,11.0812681,0,0,3,2.13483444,0,0,24.69433234,16.67098593,0000G2,1.113,1,,0,0,4241000660,0.7061,1,1211302420,2.8847,1,,0,0,Sp??????cifi?????? par l'utilisateur,0,1,2403Z02000,4.2939,1,,0,0,3231506720,5.0579,1,,0,0,1211302421,3.14,100,1,1800300420,3.8318,1,200014,0.338218182,0.568745455,0.644479666,4,0.98,1,1.113,0,0.7061,2.8847,0,0,4.2939,0,5.0579,0,3.14,3.8318,0.98,491,detached
ERS-EX-27217.H2K,QUEBEC,QUEBEC INTL,4838,House,Single Detached,Rectangular,One storey,1970,1972,0,0,0,0,72.7,72.7,0,0,145.4,370.4693,5.0902,6.2133,1072.3192,2,1,0,0,6.2997,2.6,9.7,0.9,191.1188,55,21,18,25,8,Baseboards,Electric,Baseboards,100,Steady State,15,0,0,FALSE,0,Mixed Wood,Wood furnace,30,7,0,127,Exterior,12,FALSE,Never,,,COP,,,,,,COP,,,,,,Electricity,Conventional tank,151.3998,0.82,FALSE,0,0,FALSE,,,0,0,,0,0,FALSE,FALSE,,,,,,,,,,,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,1,0,75.0018,1,38,BCCB_4,34.75,34.7481,72.6502,2.4384,1.524,1,0,0,0,TRUE,FALSE,,3,0,0,0,0,0,0,FALSE,,0,0,0,Attic/gable,20.7264,72.6502,0.3333,0.3048,0,0,0,0,0,0,0,0,66.78744072,27.7368,2.4079,4,4,16.88034216,7.0104,2.4079,4,4,0,0,0,8.7910416,34.7472,0.253,3,0.864,2.083,0,0,4,6.887083295,0,0,4,6.6380514,0,0,1,0.4741926,0,0,5,5.897408238,0,0,19.89673553,18.53408289,UserSpecified_1.68,1.6754,1,,0,0,4231000660,0.7058,1,,0,0,,0,0,Sp??????cifi?????? par l'utilisateur,0,1,2403c02000,6.4027,1,,0,0,,0,0,,0,0,1201202140,2.4162,100,1,18000M0140,1.5479,1,200214,0.3593,0.5862,0.350486369,5,1.14,0.666666667,1.6754,0,0.7058,0,0,0,6.4027,0,0,0,2.447962735,1.5479,0.673085106,491,detached
